Density, E_angle, E_bond, E_dihed, E_impro, E_vdwl, KinEng, Lx, Ly, Lz, PotEng, Press, Step, Temp, TotEng, Volume, f_avd, f_sxx_ave, f_syy_ave, f_szz_ave, v_Time, v_sxx, v_syy, v_szz
1.1568622, 44190.703, 8909.4988, -4325.7991, 288.65306, -3445.6955, 18846.622, 60.605803, 58.313932, 58.705431, 44349.442, 45.048434, 136000, 300.23511, 63196.065, 207474.54, 1.1544464, -1.0714974, 2.0442306, 4.3681585, 68, -48.497007, -5.7915579, 40.594967
1.1577158, 44090.006, 8964.0509, -4403.8127, 277.49953, -3472.8064, 18760.686, 60.301183, 58.451527, 58.819699, 44194.533, 230.8335, 138000, 298.8661, 62955.219, 207321.57, 1.1569429, -0.36097018, 1.127468, -1.137856, 69, -142.47306, -42.803352, 115.1088
1.1554885, 44076.697, 9079.3108, -4597.9467, 299.2348, -3447.0124, 18810.386, 60.571418, 58.24981, 58.873326, 44166.622, 767.66901, 140000, 299.65786, 62977.009, 207721.2, 1.1565227, 0.75271893, -0.17206228, 0.0069397196, 70, -115.83096, -87.503322, -30.017906
1.1549307, 44174.832, 9138.4088, -4550.335, 283.69863, -3353.1142, 18916.78, 60.341464, 58.242239, 59.133913, 44421.158, 308.78861, 142000, 301.35275, 63337.938, 207821.52, 1.1559985, -2.64176, -1.1996263, 4.4722974, 71, -61.973974, 97.830605, -129.72065
1.1578546, 43908.647, 8942.1362, -4393.6928, 287.02049, -3440.8184, 18953.697, 60.532083, 58.148917, 58.893202, 44066.17, 564.82722, 144000, 301.94085, 63019.867, 207296.71, 1.1586391, -1.7866808, -7.0028014, -4.9539828, 72, -101.18656, -53.515881, -16.990914
1.1568545, 44025.14, 9079.7029, -4551.7706, 290.79851, -3409.4243, 18716.125, 60.952017, 58.097727, 58.589593, 44196.003, 742.11932, 146000, 298.15624, 62912.128, 207475.92, 1.1565477, 4.0204537, 6.4894602, -2.7780444, 73, -63.848188, -112.68579, -49.051738
1.1559975, 44147.29, 9093.0473, -4408.3476, 305.9487, -3431.0178, 18723.872, 60.678506, 57.805431, 59.195138, 44443.665, -467.61085, 148000, 298.27965, 63167.537, 207629.74, 1.1567976, 6.0128069, -3.2910284, 1.2582652, 74, 9.9427733, 22.282854, 109.91638
1.1568224, 44146.379, 9040.5744, -4666.0535, 277.13258, -3389.8192, 18984.441, 60.250989, 58.230173, 59.138118, 44162.08, -121.96892, 150000, 302.43063, 63146.521, 207481.68, 1.1596935, 0.30550614, -7.0448066, 0.3107285, 75, -59.875418, 60.941336, 36.009585
1.1617203, 43953.787, 8991.2213, -4465.3787, 298.64008, -3448.1136, 18730.752, 60.396071, 58.029369, 58.950617, 44102.521, 817.97587, 152000, 298.38924, 62833.273, 206606.93, 1.1580382, -4.8814439, 5.5643091, -0.50054329, 76, -127.91326, -70.605036, -50.125918
1.1558157, 43950.419, 9124.3753, -4474.8786, 279.47826, -3453.1799, 18935.342, 60.371164, 58.24549, 59.05627, 44201.937, -740.7825, 154000, 301.64846, 63137.279, 207662.4, 1.1561631, 4.5216661, -3.5618095, 4.2900675, 77, 83.373393, 18.586854, 123.21911
1.1538976, 44172.649, 9059.4046, -4505.4249, 283.2478, -3416.2409, 18916.386, 60.320964, 58.428914, 59.017811, 44357.033, 410.93092, 156000, 301.34648, 63273.419, 208007.59, 1.1594104, -0.61526518, 0.075881393, -4.0940763, 78, -46.821759, -57.789338, -20.301629
1.1599207, 44035.124, 9067.3303, -4411.2326, 307.539, -3488.8198, 18792.269, 60.188316, 58.039591, 59.23544, 44278.267, 370.96132, 158000, 299.36924, 63070.536, 206927.47, 1.1610791, -3.912874, -1.0772196, -3.0705739, 79, -8.4560203, -45.754313, -58.552634
1.1590152, 44130.905, 9021.0978, -4462.3927, 282.69289, -3441.6525, 18593.414, 60.302992, 58.17615, 59.030097, 44288.096, -995.57458, 160000, 296.20139, 62881.509, 207089.14, 1.1582902, 1.016704, 0.88888946, 5.9677064, 80, 76.120032, 178.4427, 48.067055
